SS,FR,DD,D,AL,Predicted,Error,SiC,Predicted.1,Error.1,Neat ,Predicted.2,Error.2,Desirability index,Composite desirability,Rank
1500.0,0.01,8.0,Core,1.012,1.0145769999999998,-0.2546442687746867,1.026,1.0238489999999998,0.2096491228070405,1.223,1.2225669999999997,0.03540474243665983,0.024999999999999814,0.0048776355359195275,59
3500.0,0.01,6.0,Core,0.962,0.9559410000000003,0.629833679833649,0.956,0.9449529999999998,1.1555439330544082,1.182,1.1928409999999998,-0.9171742808798544,0.12115384615384607,0.06145593375455575,47
3500.0,0.03,6.0,Step,0.641,0.636555,0.6934477379095214,0.695,0.663739,4.4979856115107895,1.002,0.9978749999999998,0.41167664670660237,0.7384615384615384,0.6531555143488726,14
1500.0,0.03,4.0,Core,0.92,0.927703,-0.8372826086956537,0.935,0.9369509999999999,-0.20866310160425816,1.165,1.165353,-0.03030042918455345,0.2019230769230767,0.10260642649817246,45
5500.0,0.03,4.0,Twist,0.718,0.703143,2.0692200557103075,0.763,0.728111,4.572608125819142,1.053,1.0654529999999998,-1.1826210826210661,0.5903846153846154,0.4620603002293757,22
3500.0,0.02,6.0,Core,0.968,0.9580580000000001,1.0270661157024685,0.963,0.9485859999999999,1.4967808930425792,1.189,1.1955179999999999,-0.54819175777963,0.10961538461538452,0.05183553564176563,48
5500.0,0.01,4.0,Core,0.896,0.8738170000000001,2.475781249999995,0.912,0.8829369999999997,3.1867324561403816,1.138,1.1563869999999998,-1.6157293497363736,0.24807692307692292,0.14877697007242008,41
3500.0,0.02,6.0,Core,0.968,0.9580580000000001,1.0270661157024685,0.963,0.9485859999999999,1.4967808930425792,1.189,1.1955179999999999,-0.54819175777963,0.10961538461538452,0.05183553564176563,48
3500.0,0.02,8.0,Step,0.683,0.6725180000000001,1.5346998535871144,0.728,0.7079580000000001,2.7530219780219634,1.031,1.0392779999999997,-0.8029097963142372,0.6576923076923076,0.5481145636589043,18
5500.0,0.03,8.0,Core,1.002,0.9915190000000002,1.0460079840319212,1.012,0.9768069999999999,3.477569169960488,1.213,1.2288689999999998,-1.3082440230832388,0.04423076923076907,0.013552701218916,57
3500.0,0.03,6.0,Twist,0.795,0.7905550000000001,0.559119496855336,0.799,0.785139,1.7347934918648327,1.098,1.1017750000000002,-0.34380692167578175,0.4423076923076921,0.3225150189016941,34
1500.0,0.03,8.0,Twist,0.866,0.8544790000000002,1.3303695150115222,0.882,0.8590470000000001,2.60238095238094,1.133,1.1313689999999998,0.14395410414829302,0.3057692307692307,0.1874299231061392,40
3500.0,0.02,6.0,Core,0.968,0.9580580000000001,1.0270661157024685,0.963,0.9485859999999999,1.4967808930425792,1.189,1.1955179999999999,-0.54819175777963,0.10961538461538452,0.05183553564176563,48
3500.0,0.02,6.0,Twist,0.786,0.782258,0.4760814249363897,0.792,0.7767860000000001,1.9209595959595895,1.089,1.0971179999999998,-0.7454545454545315,0.4596153846153845,0.3446145860244144,28
1500.0,0.03,8.0,Step,0.696,0.702079,-0.8734195402298932,0.743,0.753147,-1.3656796769851975,1.041,1.0492689999999998,-0.7943323727185264,0.6326923076923078,0.5114197523570295,20
1500.0,0.01,8.0,Step,0.689,0.688777,0.0323657474600832,0.735,0.7323489999999999,0.36068027210885306,1.037,1.041567,-0.4404050144648012,0.6461538461538462,0.5291065357217856,19
5500.0,0.01,8.0,Twist,0.815,0.798257,2.054355828220853,0.819,0.778369,4.9610500610500585,1.108,1.1176669999999997,-0.8724729241876937,0.40384615384615385,0.2840342930447254,36
1500.0,0.02,6.0,Core,0.989,0.9773779999999999,1.1751263902932387,0.991,0.975266,1.5876892028254315,1.196,1.196518,-0.0433110367892992,0.0692307692307691,0.030640535594973685,55
3500.0,0.02,6.0,Step,0.635,0.628058,1.0932283464566934,0.672,0.6539860000000001,2.680654761904758,0.993,0.992718,0.028398791540785947,0.75,0.692680452168075,8
1500.0,0.03,4.0,Step,0.609,0.605503,0.5742200328407179,0.645,0.643251,0.27116279069767446,0.942,0.9487530000000001,-0.7168789808917325,0.8,0.8167531931698823,5
3500.0,0.02,6.0,Core,0.968,0.9580580000000001,1.0270661157024685,0.963,0.9485859999999999,1.4967808930425792,1.189,1.1955179999999999,-0.54819175777963,0.10961538461538452,0.05183553564176563,48
1500.0,0.03,4.0,Twist,0.762,0.7611030000000001,0.11771653543306111,0.779,0.780151,-0.1477535301668823,1.071,1.0704529999999999,0.05107376283847575,0.5057692307692306,0.39367085371531135,25
1500.0,0.03,8.0,Core,1.025,1.0214789999999998,0.34351219512196174,1.048,1.0408469999999999,0.6825381679389491,1.229,1.2298689999999999,-0.07070789259558881,0.0,0,60
